domain_id,institution_id,contact,source_id,driving_source_id,driving_variant_label,driving_experiment_id,status,estimated_completion_date,comments
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,ERA5,,evaluation,completed,2026-03,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,EC-Earth3-Veg,r1i1p1f1,historical,completed,2026-03,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,EC-Earth3-Veg,r1i1p1f1,ssp370,completed,2026-03,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,EC-Earth3-Veg,r1i1p1f1,ssp126,running,2026-05,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,ACCESS-ESM1-2,r6i1p1f1,historical,planned,2026-07,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,ACCESS-ESM1-2,r6i1p1f1,ssp370,planned,2026-07,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,EC-Earth3,r1i1p1f1,historical,planned,2026-07,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,EC-Earth3,r1i1p1f1,ssp370,planned,2026-07,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,NorESM2-MM,r1i1p1f1,historical,planned,2026-10,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,NorESM2-MM,r1i1p1f1,ssp370,planned,2026-10,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,MPI-ESM1-2-HR,r1i1p1f1,historical,planned,2027-01,
SAM-25,UNSW-CCRC,L.V. Alexander,CCAM-v2507-SN,MPI-ESM1-2-HR,r1i1p1f1,ssp370,planned,2027-01,
SEA-12,HKU,I. Eun Soon,RegCM5-0,ERA5,,evaluation,completed,2025-12,#CORDEX-CORE
SEA-12,HKU,I. Eun Soon,RegCM5-0,EC-Earth3-Veg,r1i1p1f1,historical,running,2026-06,#CORDEX-CORE
SEA-12,HKU,I. Eun Soon,RegCM5-0,EC-Earth3-Veg,r1i1p1f1,ssp370,running,2026-06,#CORDEX-CORE
